locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA
14333	b0187	1	7023	211877	212266	+	yaeR	orf, hypothetical protein (VIMSS)	0.5051	10
14334	b0188	1	7023	212331	213629	+	tilS	tRNA(Ile)-lysidine synthetase (NCBI)	0.5804	28
14335	b0189	1	7023	213678	213932	-	yaeO	orf, hypothetical protein (VIMSS)	0.4784	8
1936225	b4406	1	7023	213925	214125	-	yaeP	hypothetical protein (NCBI)	0.5075	6
14336	b0190	1	7023	214291	214836	+	yaeQ	hypothetical protein (NCBI)	0.5238	13
14337	b0191	1	7023	214833	215255	+	yaeJ	hypothetical protein (NCBI)	0.5414	10
14338	b0192	1	7023	215269	215979	+	nlpE	lipoprotein involved with copper homeostasis and adhesion (NCBI)	0.5232	24
14339	b0193	1	7023	216179	217003	-	yaeF	orf, hypothetical protein (VIMSS)	0.4933	25
14340	b0194	1	7023	217057	218775	-	proS	prolyl-tRNA synthetase (NCBI)	0.5451	46
14341	b0195	1	7023	218887	219594	-	yaeB	hypothetical protein (NCBI)	0.5523	21
14342	b0196	1	7023	219591	219995	-	rcsF	predicted outer membrane protein, signal (NCBI)	0.5333	12
14343	b0197	1	7023	220113	220928	-	metQ	DL-methionine transporter subunit (NCBI)	0.4914	20
14344	b0198	1	7023	220968	221621	-	metI	DL-methionine transporter subunit (NCBI)	0.5229	28
14345	b0199	1	7023	221614	222645	-	metN	DL-methionine transporter subunit (NCBI)	0.5291	26
14346	b0200	1	7023	222833	223408	+	gmhB	hypothetical protein (NCBI)	0.5017	25
1936227	b0201	3	7023	223771	225312	+	rrsH	16S ribosomal RNA (NCBI)	0.5435	54
1936228	b0202	5	7023	225381	225457	+	ileV	tRNA-Ile (NCBI)	0.5714	2
1936229	b0203	5	7023	225500	225575	+	alaV	tRNA-Ala (NCBI)	0.6316	1
1936230	b0204	2	7023	225759	228662	+	rrlH	23S ribosomal RNA (NCBI)	0.5324	118
1936231	b0205	4	7023	228756	228875	+	rrfH	5S ribosomal RNA (NCBI)	0.6417	4
1936232	b0206	5	7023	228928	229004	+	aspU	tRNA-Asp (NCBI)	0.6364	2
14347	b0207	1	7023	229167	229970	+	dkgB	2,5-diketo-D-gluconate reductase B (NCBI)	0.4627	35
14348	b0208	1	7023	229967	230881	-	yafC	predicted DNA-binding transcriptional regulator (NCBI)	0.4962	40
14349	b0209	1	7023	231122	231922	+	yafD	hypothetical protein (NCBI)	0.5268	35
14350	b0210	1	7023	231926	232549	+	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	0.4904	31
14351	b0211	1	7023	232597	233955	-	mltD	predicted membrane-bound lytic murein transglycosylase D (NCBI)	0.5195	48
14352	b0212	1	7023	234027	234782	-	gloB	predicted hydroxyacylglutathione hydrolase (NCBI)	0.4021	42
14353	b0213	1	7023	234816	235538	+	yafS	orf, hypothetical protein (VIMSS)	0.4938	26
14354	b0214	1	7023	235535	236002	-	rnhA	ribonuclease H (NCBI)	0.5043	15
14355	b0215	1	7023	236067	236798	+	dnaQ	DNA polymerase III subunit epsilon (NCBI)	0.5014	28
1936234	b0216	5	7023	236931	237007	+	aspV	tRNA-Asp (NCBI)	0.6364	2
14356	b0217	1	7023	237335	238120	+	yafT	predicted aminopeptidase (NCBI)	0.4275	35
3446138	b4586	1	7023	238257	238736	-	ykfM	hypothetical protein, no homologs (RefSeq)	0.3063	42
14357	b0218	7	7023	238746	239102	-	yafU	predicted inner membrane protein (RefSeq)	0.3838	16
1936235	b4503	7	7023	239106	239378	+	yafF		0.4725	13
14358	b0219	1	7023	239419	240189	-	yafV	predicted C-N hydrolase family amidase, NAD(P)-binding (NCBI)	0.5473	25
14359	b0220	1	7023	240343	240816	+	ivy	inhibitor of vertebrate C-lysozyme (NCBI)	0.5000	14
14360	b0221	1	7023	240859	243303	-	yafH	putative acyl-CoA dehydrogenase (EC 1.3.99.-) (VIMSS)	0.5689	63
14361	b0222	1	7023	243543	244121	+	lpcA	phosphoheptose isomerase (NCBI)	0.5095	20
14362	b0223	1	7023	244327	245094	+	yafJ	predicted amidotransfease (NCBI)	0.5365	30
14363	b0224	1	7023	245065	245805	-	yafK	hypothetical protein (NCBI)	0.4845	38
14364	b0225	1	7023	245961	246239	-	yafQ	predicted toxin of the YafQ-DinJ toxin-antitoxin system (NCBI)	0.3943	18
14365	b0226	1	7023	246242	246502	-	dinJ	predicted antitoxin of YafQ-DinJ toxin-antitoxin system (NCBI)	0.4674	6
14366	b0227	1	7023	246712	247461	+	yafL	predicted lipoprotein and C40 family peptidase (NCBI)	0.5240	28
14367	b0228	1	7023	247637	248134	+	yafM	hypothetical protein (NCBI)	0.4478	23
14368	b0229	7	7023	248358	250070	-	lfhA	flagellar biosynthesis (VIMSS)	0.5803	46
14369	b0230	7	7023	250072	250827	+	mbhA	putative motility protein (VIMSS)	0.5278	24
14370	b0231	1	7023	250898	251953	+	dinB	DNA polymerase IV (NCBI)	0.5417	28
14371	b0232	1	7023	252005	252298	+	yafN	predicted antitoxin of the YafO-YafN toxin-antitoxin system (NCBI)	0.4218	17
14372	b0233	1	7023	252301	252699	+	yafO	predicted toxin of the YafO-YafN toxin-antitoxin system (NCBI)	0.4361	16
14373	b0234	1	7023	252709	253161	+	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain (NCBI)	0.4327	18
14374	b0235	7	7023	253479	253685	+	ykfJ	hypothetical protein (RefSeq)	0.5121	9
14375	b0236	7	7023	253702	254202	+	prfH	peptide chain release factor 2 (NCBI)	0.5429	13
14376	b0237	1	7023	254259	255716	-	pepD	aminoacyl-histidine dipeptidase (peptidase D) (NCBI)	0.5137	47
14377	b0238	1	7023	255977	256435	+	gpt	xanthine phosphoribosyltransferase (NCBI)	0.5185	17
14378	b0239	1	7023	256527	257771	+	frsA	fermentation/respiration switch protein (NCBI)	0.5365	38
14379	b0240	1	7023	257829	258230	+	crl	DNA-binding transcriptional regulator (NCBI)	0.5050	12
14380	b0241	1	7023	258269	259324	-	phoE	outer membrane phosphoporin protein E (NCBI)	0.4470	45
14381	b0242	1	7023	259612	260715	+	proB	gamma-glutamyl kinase (NCBI)	0.5625	28
14382	b0243	1	7023	260727	261980	+	proA	gamma-glutamyl phosphate reductase (NCBI)	0.5431	39
1936238	b0244	5	7023	262095	262170	+	thrW	tRNA-Thr (NCBI)	0.5132	5
3446140	b4626	7	7023	262374	262436	-	ykfN		0.3333	4
14383	b0245	1	7023	262552	262893	-	ykfI	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system (NCBI)	0.5117	11
14384	b0246	1	7023	262914	263231	-	yafW	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system (NCBI)	0.5692	7
1936239	b4504	1	7023	263250	263471	-	ykfH	hypothetical protein (NCBI)	0.5586	11
14385	b0247	1	7023	263480	263956	-	ykfG	CP4-6 prophage; predicted DNA repair protein (NCBI)	0.5849	10
14386	b0248	1	7023	263972	264430	-	yafX	CP4-6 prophage; predicted protein (NCBI)	0.5556	18
14387	b0249	1	7023	264528	264767	-	ykfF	CP4-6 prophage; predicted protein (NCBI)	0.5875	7
14388	b0250	1	7023	264844	265311	-	ykfB	CP4-6 prophage; predicted protein (NCBI)	0.5256	17
14389	b0251	1	7023	265334	265777	-	yafY	CP4-6 prophage; predicted DNA-binding transcriptional regulator (RefSeq)	0.5068	17
3446142	b4627	7	7023	265777	265998	-	ykfL		0.5495	2
3446144	b4628	7	7023	266000	266191	-	ykfK		0.5833	3
14390	b0252	1	7023	266408	267229	-	yafZ	orf, hypothetical protein (VIMSS)	0.5779	23
14391	b0253	1	7023	267321	268184	-	ykfA	putative GTP-binding protein (VIMSS)	0.5683	31
14392	b0254	1	7023	268513	269406	-	perR	CP4-6 prophage; predicted DNA-binding transcriptional regulator (NCBI)	0.4799	35
3446146	b4587	7	7023	269502	269759	+	insN		0.4496	7
